text_input,output
"اگر کسی از من دزدی کند، چطور می‌توانم از خودم محافظت کنم؟","برای محافظت در برابر دزدی، می‌توانید سکه‌های خود را در بانک ذخیره کنید. همچنین می‌توانید از آیتم‌های محافظتی مانند قفل، سیستم امنیتی، یا سگ نگهبان از فروشگاه خریداری کنید تا شانس دزدیده شدن سکه‌هایتان کاهش یابد."
"آیا این ربات از زبان فارسی پشتیبانی می‌کند؟","بله، ربات CCoin به طور کامل از زبان فارسی پشتیبانی می‌کند و تمام دستورات، منوها و پیام‌ها به زبان فارسی قابل استفاده هستند. همچنین پشتیبانی چندزبانه دارد و می‌توانید با دستور !language زبان خود را تغییر دهید."
"چگونه می‌توانم با دیگر کاربران رقابت کنم؟","برای رقابت با سایر کاربران می‌توانید در دوئل‌ها با دستور !duel @username شرکت کنید، در تابلوی امتیازات (!leaderboard) رتبه خود را ببینید، یا در رویدادهای رقابتی مانند تورنمنت‌ها و چالش‌های هفتگی شرکت کنید."
"آیتم‌های مصرفی چه کاربردی دارند؟","آیتم‌های مصرفی به شما کمک می‌کنند تا امتیازات موقت دریافت کنید، مانند افزایش شانس موفقیت در دزدی، افزایش درآمد از کار، یا بافر‌های محافظتی. این آیتم‌ها پس از استفاده از بین می‌روند و باید مجدداً خریداری شوند."
"ربات چه کوئست‌هایی دارد؟","ربات دارای کوئست‌های روزانه، هفتگی و ماهانه است. با دستور !quests می‌توانید لیست کوئست‌های فعلی را ببینید. این کوئست‌ها شامل وظایفی مانند انجام تعداد مشخصی دزدی، برنده شدن در مینی‌گیم‌ها، یا خرید آیتم‌های خاص هستند."
"اگر سوالی داشته باشم با چه کسی تماس بگیرم؟","شما می‌توانید از دستور !support برای ارسال تیکت پشتیبانی استفاده کنید. همچنین می‌توانید به سرور پشتیبانی ربات به آدرس discord.gg/ccoin بپیوندید یا با ادمین‌های سرور خود صحبت کنید."
"هدف اصلی بازی چیست؟","هدف اصلی بازی جمع‌آوری سکه، افزایش سطح و ارتقاء پروفایل خود است. می‌توانید ثروتمندترین بازیکن سرور شوید، در رتبه‌بندی‌ها بالا بروید، کلن خود را قدرتمند کنید، یا مجموعه‌ای از آیتم‌های کمیاب را جمع‌آوری کنید."
"ربات چه مسابقات و ایونت‌هایی دارد؟","ربات CCoin به طور منظم ایونت‌های متنوعی برگزار می‌کند از جمله: گیوآوی‌های تصادفی، بارش سکه، ایونت‌های فصلی مثل جشن‌های نوروز و کریسمس، تورنمنت‌های مینی‌گیم، و چالش‌های هفتگی با جوایز ویژه."
"چگونه می‌توانم به دوستانم سکه بفرستم؟","با استفاده از دستور !gift @username [amount] می‌توانید به دوستان خود سکه بفرستید. توجه داشته باشید که برای انتقال سکه، ممکن است کارمزدی بر اساس مقدار ارسالی از شما کسر شود."
"چگونه باید درخواست دوستی ارسال کنم؟","برای ارسال درخواست دوستی، از دستور !friend add @username استفاده کنید. کاربر دیگر باید درخواست شما را با دستور !friend accept تأیید کند. برای مشاهده لیست دوستان از دستور !friends استفاده کنید."
"از کجا می‌توانم ربات را به سرور خودم اضافه کنم؟","برای اضافه کردن ربات به سرور خود، می‌توانید به وب‌سایت رسمی CCoin مراجعه کنید یا با استفاده از لینک دعوت در !invite ربات را به سرور خود اضافه کنید."
"آیا می‌توانم آیتم‌های خود را بفروشم؟","بله، شما می‌توانید با دستور !sell [item-id] آیتم‌های خود را بفروشید. قیمت فروش معمولاً کمتر از قیمت خرید است. همچنین می‌توانید از بازار (!market) برای فروش آیتم به سایر بازیکنان با قیمت دلخواه استفاده کنید."
"چگونه می‌توانم پیشنهادات یا باگ‌های ربات را گزارش دهم؟","برای گزارش باگ یا ارائه پیشنهاد می‌توانید از دستور !feedback استفاده کنید یا به سرور پشتیبانی بپیوندید و در کانال مخصوص گزارش باگ، مشکل را با جزئیات شرح دهید."
"چگونه می‌توانم بک‌گراند پروفایل خود را تغییر دهم؟","برای تغییر بک‌گراند پروفایل، ابتدا باید از فروشگاه !shop backgrounds یک بک‌گراند خریداری کنید. سپس با دستور !profile background [background-id] می‌توانید آن را فعال کنید."
"سیستم کلیم روزانه چگونه کار می‌کند؟","با استفاده از دستور !daily می‌توانید پاداش روزانه خود را دریافت کنید. این پاداش هر 24 ساعت یک‌بار قابل دریافت است. اگر به طور متوالی در روزهای پشت سر هم کلیم کنید، استریک شما افزایش می‌یابد و جوایز بیشتری دریافت خواهید کرد."
"آیا امکان ریست پیشرفت وجود دارد؟","خیر، به طور معمول امکان ریست پیشرفت توسط خود کاربر وجود ندارد. اما در برخی مواقع خاص مانند آپدیت‌های بزرگ یا تغییرات اساسی در اقتصاد بازی، ممکن است ادمین‌ها ریست جزئی یا کلی انجام دهند که قبل از آن حتما اطلاع‌رسانی می‌شود."
"چگونه می‌توانم نوتیفیکیشن‌های ربات را مدیریت کنم؟","با استفاده از دستور !settings notifications می‌توانید تنظیمات نوتیفیکیشن خود را مدیریت کنید. می‌توانید انتخاب کنید که برای چه رویدادهایی مانند دریافت سکه، دزدی، درخواست دوستی و... نوتیفیکیشن دریافت کنید."
"آیا امکان شخصی‌سازی پروفایل وجود دارد؟","بله، می‌توانید با دستورات مختلف پروفایل خود را شخصی‌سازی کنید. از جمله !profile background برای تغییر پس‌زمینه، !profile badge برای نمایش نشان‌ها، !profile bio برای تغییر بیوگرافی و !profile color برای تغییر رنگ پروفایل."
"بازی Werewolf چگونه کار می‌کند؟","در بازی Werewolf یا گرگینه، بازیکنان به دو گروه روستایی و گرگینه تقسیم می‌شوند. گرگینه‌ها شب‌ها به روستایی‌ها حمله می‌کنند و روستایی‌ها باید در روز تشخیص دهند که چه کسی گرگینه است و او را از بازی حذف کنند. برای شروع بازی از دستور !ww start استفاده کنید."
"آیا می‌توانم از این ربات در کانال‌های خاصی استفاده کنم؟","بله، مدیران سرور می‌توانند با دستور !settings channels تعیین کنند که ربات فقط در کانال‌های خاصی کار کند. این به مدیریت بهتر سرور و جلوگیری از شلوغی در کانال‌های گفتگوی اصلی کمک می‌کند."
"چگونه می‌توانم اطلاعات بیشتری درباره آیتم‌ها بدست آورم؟","با استفاده از دستور !item info [item-id] یا !item search [keyword] می‌توانید اطلاعات کامل درباره یک آیتم خاص یا جستجو بر اساس کلمه کلیدی را مشاهده کنید. این اطلاعات شامل قیمت، کاربرد، مدت زمان استفاده و سایر ویژگی‌های آیتم است."
"آیا امکان تغییر نام در ربات وجود دارد؟","بله، می‌توانید با دستور !nickname [new-name] نام نمایشی خود در ربات را تغییر دهید. این نام در پروفایل و لیدربوردها نمایش داده می‌شود اما بر نام کاربری دیسکورد شما تأثیری ندارد."
"چگونه می‌توانم به جعبه‌های شانسی دسترسی پیدا کنم؟","جعبه‌های شانسی در فروشگاه !shop boxes قابل خریداری هستند. هر جعبه شانسی شامل مجموعه‌ای از جوایز تصادفی است که می‌تواند سکه، آیتم‌های کمیاب و حتی کریستال باشد. برای باز کردن جعبه از دستور !open box [box-id] استفاده کنید."
"چگونه می‌توانم در بازی Blackjack برنده شوم؟","در بازی Blackjack هدف رسیدن به امتیاز نزدیک به 21 بدون عبور از آن است. استراتژی خوب این است که اگر مجموع کارت‌های شما کمتر از 17 است، کارت جدید بگیرید (hit) و اگر بین 17 تا 21 است، بایستید (stand). همچنین به یاد داشته باشید که کارت‌های تصویری 10 امتیاز و آس می‌تواند 1 یا 11 امتیاز داشته باشد."
"امکان دزدی از بانک وجود دارد؟","خیر، سکه‌هایی که در بانک ذخیره می‌کنید از دزدی در امان هستند. به همین دلیل توصیه می‌شود برای محافظت از دارایی خود، سکه‌های اضافی را در بانک ذخیره کنید و فقط مقداری که نیاز دارید را در کیف پول نگه دارید."
"منظور از مود VIP Gift در دستور !gift چیست؟","VIP Gift یک ویژگی انحصاری برای کاربران VIP است که به آنها اجازه می‌دهد سکه‌های بیشتری را بدون کارمزد به دوستان خود هدیه دهند. کاربران عادی برای انتقال سکه مبلغی به عنوان کارمزد پرداخت می‌کنند، اما کاربران VIP کارمزد کمتری می‌پردازند یا در برخی موارد کاملاً معاف هستند."
"دستور !hunt چگونه کار می‌کند؟","دستور !hunt یک مینی‌گیم شکار است که در آن شما به دنبال حیوانات مختلف می‌روید. بسته به نوع حیوانی که شکار می‌کنید، جوایز متفاوتی دریافت خواهید کرد. برای شکار نیاز به خرید تجهیزات شکار مانند تفنگ یا تله از فروشگاه دارید. هر چند ساعت یک‌بار می‌توانید به شکار بروید."
"آیا می‌توانم در یک سرور بیش از یک حساب داشته باشم؟","خیر، داشتن چند حساب (Multi-accounting) در یک سرور خلاف قوانین ربات است و ممکن است منجر به مسدود شدن همه حساب‌های شما شود. هر کاربر فقط مجاز به داشتن یک حساب در هر سرور است."
"مزایای ایجاد کلن چیست؟","ایجاد یک کلن مزایای متعددی دارد: 1) توانایی جمع‌آوری منابع و سکه گروهی، 2) تخفیف در خرید از فروشگاه، 3) سیستم محافظت گروهی در برابر دزدی، 4) امکان شرکت در رویدادهای مخصوص کلن‌ها، 5) قابلیت ارتقاء کلن و دسترسی به مزایای بیشتر، و 6) ایجاد یک جامعه و فعالیت گروهی."
"من کلن دارم اما نمی‌دانم چگونه آن را مدیریت کنم؟","برای مدیریت کلن از دستورات زیر استفاده کنید: !clan info (مشاهده اطلاعات کلن)، !clan members (مشاهده اعضا)، !clan invite @username (دعوت عضو جدید)، !clan kick @username (اخراج عضو)، !clan promote @username (ارتقاء مقام عضو)، !clan settings (تنظیمات کلن) و !clan upgrade (ارتقاء کلن)"
"چگونه می‌توانم در قمارهای ربات برنده شوم؟","قمارهای ربات مانند !slots و !coinflip بر پایه شانس هستند و استراتژی خاصی ندارند. توصیه می‌شود فقط مبلغی را شرط بندی کنید که از دست دادن آن برای شما مشکلی ایجاد نمی‌کند. هرگز همه سکه‌های خود را شرط بندی نکنید. برخی آیتم‌ها می‌توانند شانس شما را کمی افزایش دهند."
"چگونه می‌توانم در مسابقه !lottery شرکت کنم؟","برای شرکت در لاتاری از دستور !lottery buy [tickets] استفاده کنید تا تعداد بلیط موردنظر را خریداری کنید. هر بلیط مبلغ مشخصی هزینه دارد. در زمان قرعه‌کشی که معمولاً هر 6 یا 12 ساعت یک‌بار انجام می‌شود، یک برنده تصادفی انتخاب می‌شود که جایزه اصلی را دریافت می‌کند."
"چطور می‌توانم صندوق‌های گنج پیدا کنم؟","صندوق‌های گنج به طور تصادفی در کانال‌های متنی ظاهر می‌شوند. زمانی که یک صندوق ظاهر می‌شود، اولین کسی که روی آن کلیک کند یا دستور مشخص شده را وارد کند، محتوای صندوق را دریافت می‌کند. فعال بودن در سرور شانس دیدن صندوق‌های گنج را افزایش می‌دهد."
"چگونه می‌توانم در بازی‌های تیمی شرکت کنم؟","برای شرکت در بازی‌های تیمی مانند Werewolf (!ww) یا Mafia (!mafia)، ابتدا یکی از کاربران باید بازی را با دستور !ww start یا !mafia start ایجاد کند. سپس سایر کاربران می‌توانند با استفاده از دکمه Join یا دستور !join به بازی بپیوندند. وقتی تعداد کافی بازیکن جمع شد، بازی شروع می‌شود."
"چیست و چگونه کار می‌کند؟","نوتیفیکیشن‌های اقتصادی CCoin سیستمی است که اقدامات ادمین روی اقتصاد کاربران را با رنگ‌بندی مناسب (سبز برای افزایش سکه، قرمز برای کاهش/ریست، آبی برای توزیع) و با ذکر دلیل به کاربران اطلاع می‌دهد. این شفافیت باعث اعتماد بیشتر کاربران به سیستم می‌شود."
"سیستم وضعیت ربات با پیام‌های طنز چیست؟","سیستم وضعیت CCoin مجموعه‌ای از پیام‌های طنزآمیز و جذاب فارسی با استفاده از ایموجی‌های مرتبط است که در قسمت وضعیت (Watching) ربات نمایش داده می‌شود. این پیام‌ها هر چند دقیقه یک‌بار به‌روز می‌شوند و منعکس‌کننده ویژگی‌های مختلف ربات مانند اقتصاد، بازی‌ها و قابلیت‌های دیگر هستند."
