text_input,output
"چگونه از دستور </ping:0> استفاده کنم و چه کاربردی دارد؟","📶 **دستور Ping - بررسی وضعیت ربات**

دستور </ping:0> به شما کمک می‌کند تا از وضعیت ربات و کیفیت اتصال آن مطلع شوید. با اجرای این دستور:

⏱️ زمان تأخیر (پینگ) ربات نمایش داده می‌شود
🔄 وضعیت اتصال به سرورهای دیسکورد بررسی می‌شود
🧠 سلامت سیستم هوش مصنوعی CCoin تأیید می‌شود
📊 وضعیت اتصال به پایگاه داده گزارش می‌شود

این دستور بسیار مفید است، خصوصاً زمانی که فکر می‌کنید ربات کُند پاسخ می‌دهد یا مشکلی در عملکرد آن وجود دارد. با دریافت این اطلاعات می‌توانید متوجه شوید آیا مشکل از ربات است یا از اتصال اینترنت شما! 📡✨"

"چگونه می‌توانم کانال فیدبک را تنظیم کنم؟","📣 **تنظیم کانال فیدبک با </setfeedbackchannel:0>**

اگر ادمین یا مدیر سرور هستید، می‌توانید یک کانال مخصوص برای دریافت بازخوردهای کاربران تنظیم کنید:

1️⃣ ابتدا یک کانال جدید در سرور خود بسازید (مثلاً #feedback)
2️⃣ دستور </setfeedbackchannel:0> را اجرا کنید
3️⃣ کانال مورد نظر را انتخاب کنید
4️⃣ تأیید کنید

پس از این تنظیم، همه بازخوردهای کاربران که با دستور </feedback:0> ارسال می‌شود، به طور خودکار در این کانال نمایش داده خواهد شد.

🔹 **مزایا:**
• مدیریت متمرکز پیشنهادات و انتقادات
• آرشیو مناسب برای بررسی ایده‌های کاربران
• امکان پاسخگویی سریع به مشکلات گزارش شده
• تعامل بهتر با جامعه کاربران سرور شما 📝✨"

"دستور </tipchannel:0> چه کاری انجام می‌دهد؟","💡 **مدیریت کانال نکات با </tipchannel:0>**

این دستور به ادمین‌های سرور اجازه می‌دهد یک کانال مخصوص برای ارسال نکات و اطلاعات مفید CCoin تعیین کنند:

1️⃣ یک کانال متنی مناسب در سرور خود ایجاد کنید (مثلاً #ccoin-tips)
2️⃣ دستور </tipchannel:0> را اجرا کنید
3️⃣ کانال مورد نظر را انتخاب کنید
4️⃣ فاصله زمانی ارسال نکات را تنظیم کنید (هر 30 دقیقه، هر ساعت و...)

پس از این تنظیم، ربات به طور خودکار و در بازه‌های زمانی مشخص، نکات مفید و آموزشی درباره قابلیت‌های مختلف ربات، ترفندهای بازی و موارد دیگر را در این کانال ارسال می‌کند.

✨ **نکته جالب:** این نکات توسط هوش مصنوعی CCoinAI تولید می‌شوند و هر بار متفاوت و خلاقانه هستند! 🧠📢"

"چگونه می‌توانم ارسال نکات را متوقف کنم؟","🛑 **توقف ارسال نکات با </untipchannel:0>**

اگر دیگر نمی‌خواهید نکات خودکار CCoin در کانال مشخص شده ارسال شود، می‌توانید این ویژگی را غیرفعال کنید:

1️⃣ دستور </untipchannel:0> را اجرا کنید
2️⃣ تأیید کنید که می‌خواهید ارسال نکات خودکار متوقف شود
3️⃣ ربات سیستم نکات را غیرفعال خواهد کرد

پس از اجرای این دستور، ربات دیگر در هیچ کانالی از سرور شما نکات خودکار ارسال نمی‌کند. البته در هر زمان می‌توانید با استفاده مجدد از </tipchannel:0> این قابلیت را دوباره فعال کنید. ⏹️✨"

"نحوه دسترسی به پنل ادمین چگونه است؟","👑 **دسترسی به پنل ادمین CCoin**

پنل ادمین CCoin با دستور </admin:0> در دسترس است، اما فقط برای کاربرانی که دارای مجوز مدیریت سرور هستند قابل استفاده است.

🔹 **قابلیت‌های پنل ادمین:**
• 💰 افزودن یا کم کردن سکه کاربران
• 🔄 ریست کردن اقتصاد کاربران یا کل سرور
• 🎁 توزیع سکه بین همه کاربران
• 🚫 مسدود/رفع مسدودیت کاربران
• 📊 مشاهده آمار و گزارش‌های سرور
• ⚙️ تنظیمات پیشرفته ربات

این پنل ابزاری قدرتمند برای مدیران سرور است تا بتوانند اقتصاد سرور را کنترل کنند و مشکلات احتمالی را برطرف نمایند.

⚠️ **توجه:** استفاده از این دستور نیاز به دسترسی‌های مدیریتی دارد. 🔐"

"من می‌خواهم درباره ربات CCoin با هوش مصنوعی صحبت کنم","🤖 **گفتگو با CCoinAI**

برای صحبت با هوش مصنوعی CCoin و پرسیدن هر سؤالی درباره ربات، بازی‌ها، یا دریافت راهنمایی، از دستور </askai:0> استفاده کنید:

🔹 **نمونه استفاده:**
• </askai:0> بهترین روش‌های کسب سکه کدامند؟
• </askai:0> قوانین بازی Blackjack چیست؟
• </askai:0> چگونه می‌توانم در مینی‌گیم‌ها برنده شوم؟
• </askai:0> قابلیت‌های جدید ربات در آپدیت اخیر چیست؟

CCoinAI یک دستیار هوشمند است که با زبان فارسی و طبیعی به سؤالات شما پاسخ می‌دهد و اطلاعات دقیقی درباره تمام جنبه‌های ربات ارائه می‌کند. 🧠💬✨"

"موجودی حساب من چقدر است؟","💰 **برای مشاهده موجودی حساب خود، لطفاً از دستور </balance:0> استفاده کنید!**

این دستور به شما اطلاعات کاملی درباره:
• 🪙 سکه‌های موجود در کیف پول
• 🏦 سکه‌های ذخیره شده در بانک
• 💎 تعداد کریستال‌های شما
• 📊 سطح اقتصادی فعلی
• 🛡️ آیتم‌های فعال محافظتی شما

نمایش می‌دهد. با اجرای این دستور می‌توانید وضعیت مالی خود را به طور کامل بررسی کنید. ✨"

"چگونه پاداش روزانه خود را دریافت کنم؟","🎁 **دریافت پاداش روزانه**

برای دریافت پاداش روزانه خود، کافیست دستور </daily:0> را اجرا کنید! با این دستور:

• 💰 سکه رایگان دریافت می‌کنید (مقدار آن بسته به سطح شما متغیر است)
• 📈 استریک روزانه شما افزایش می‌یابد
• ✨ XP برای افزایش سطح دریافت می‌کنید
• 🎲 شانس دریافت جوایز ویژه تصادفی دارید

🔥 **نکته طلایی:** سعی کنید هر روز پاداش خود را دریافت کنید! با افزایش استریک (روزهای متوالی)، مقدار پاداش شما افزایش می‌یابد و هر 7 روز متوالی، جایزه ویژه‌ای دریافت خواهید کرد. ⏰📆"

"می‌خواهم با راهنمای ربات CCoin آشنا شوم","📚 **راهنمای جامع CCoin**

برای مشاهده راهنمای کامل ربات و آشنایی با تمام قابلیت‌ها و دستورات، از </help:0> استفاده کنید!

این راهنما شامل اطلاعاتی درباره:
• 🎮 دستورات اصلی و کاربرد آنها
• 💰 سیستم اقتصادی و نحوه کسب سکه
• 🎲 مینی‌گیم‌ها و قوانین آنها
• 🏦 سیستم بانکی و نحوه استفاده از آن
• 🛒 فروشگاه و خرید آیتم‌ها
• 👥 سیستم دوستی و تعامل با دیگران

می‌باشد. این بهترین نقطه برای شروع کار با ربات CCoin است، خصوصاً اگر تازه با ربات آشنا شده‌اید! 🌟✨"

"من می‌خواهم تمام منوهای ربات را ببینم","🎮 **منوی اصلی CCoin**

برای دسترسی به تمام بخش‌های ربات، کافیست دستور </menu:0> را اجرا کنید!

این دستور یک پنل تعاملی با دکمه‌های مختلف برای شما نمایش می‌دهد که دسترسی به تمام قابلیت‌های ربات را فراهم می‌کند:

• 🎮 بخش بازی‌ها: دسترسی به تمام مینی‌گیم‌ها
• 💰 بخش اقتصادی: مشاهده موجودی، بانک، تراکنش‌ها
• 🛒 فروشگاه: خرید آیتم‌ها، مشاهده انبار
• 👥 بخش اجتماعی: دوستی‌ها، کلن‌ها، پیام‌های خصوصی
• 📊 پروفایل: مشاهده و شخصی‌سازی پروفایل
• 🏆 رتبه‌بندی: لیدربوردها و رقابت‌ها

منوی اصلی به شما کمک می‌کند به راحتی در بین قابلیت‌های مختلف ربات حرکت کنید! 🚀✨"

"ربات CCoin چه مینی‌گیم‌هایی دارد؟","🎮 **مینی‌گیم‌های هیجان‌انگیز CCoin**

ربات CCoin مجموعه متنوعی از مینی‌گیم‌های سرگرم‌کننده دارد که می‌توانید از طریق منوی بازی‌ها به آنها دسترسی پیدا کنید:

• 🃏 **بلک‌جک (</blackjack:0>)**: بازی کارتی محبوب با شانس برد بالا
• 🎰 **اسلات (</slots:0>)**: ماشین اسلات با جوایز متنوع
• 🎲 **تاس (</dice:0>)**: شرط‌بندی روی نتیجه پرتاب تاس
• ✂️ **سنگ‌کاغذ‌قیچی (</rps:0>)**: رقابت کلاسیک با دیگر کاربران
• 🪙 **پرتاب سکه (</coinflip:0>)**: شیر یا خط با ضرایب مختلف
• 🎫 **لاتاری (</lottery:0>)**: شانس برنده شدن جایزه بزرگ
• 🎭 **حقیقت یا جرأت (</truthordare:0>)**: بازی گروهی سرگرم‌کننده
• ❓ **کوییز (</quiz:0>)**: رقابت در پاسخ به سؤالات مختلف
• 🐺 **گرگینه (</werewolf:0>)**: بازی گروهی استراتژیک

هر مینی‌گیم قوانین و جوایز مخصوص به خود را دارد. با شرکت در آنها می‌توانید سکه جمع‌آوری کنید و سطح خود را بالا ببرید! 🎯🏆"

"چگونه می‌توانم سکه بیشتری جمع‌آوری کنم؟","💰 **روش‌های جمع‌آوری سکه در CCoin**

روش‌های متنوعی برای کسب سکه در ربات CCoin وجود دارد:

• 🎁 **پاداش روزانه (</daily:0>)**: هر 24 ساعت یک‌بار
• 💼 **کار کردن (</work:0>)**: هر ساعت یک‌بار
• 🎮 **برنده شدن در مینی‌گیم‌ها**: مثل بلک‌جک، اسلات، تاس و...
• 🦹‍♂️ **دزدی (</rob:0>)**: دزدیدن سکه از کاربران دیگر (ریسک بالا!)
• 🏆 **شرکت در ایونت‌ها و چالش‌ها**: رویدادهای مختلف سرور
• 📦 **یافتن صندوق‌های گنج**: صندوق‌های تصادفی در چت‌ها
• 🎯 **تکمیل کوئست‌ها**: وظایف و مأموریت‌های مختلف
• 💲 **فروش آیتم‌ها**: فروش آیتم‌های اضافی از انبار

🔥 **نکته طلایی**: ترکیبی از این روش‌ها را استفاده کنید و فعالیت منظم داشته باشید تا بتوانید سریع‌تر سکه جمع‌آوری کنید! 💸✨"

"سیستم بانکی CCoin چگونه کار می‌کند؟","🏦 **سیستم بانکی CCoin - محافظت از سکه‌های شما**

با استفاده از دستور </bank:0> می‌توانید به سیستم بانکی CCoin دسترسی پیدا کنید:

📥 **سپرده‌گذاری (Deposit)**: سکه‌ها را در بانک ذخیره کنید تا از دزدی محافظت شوند
📤 **برداشت (Withdraw)**: سکه‌ها را از حساب بانکی به کیف پول منتقل کنید
📊 **اطلاعات حساب**: مشاهده موجودی بانک و سقف مجاز

🔹 **مزایای استفاده از بانک:**
• 🛡️ سکه‌های داخل بانک از دزدی در امان هستند
• 💹 دریافت سود روزانه بر اساس میزان سپرده (در سطوح بالاتر)
• 🔄 مدیریت بهتر اقتصاد شخصی

⚠️ **نکته مهم**: سقف بانک با افزایش سطح شما بالاتر می‌رود. کاربران VIP سقف بانک بالاتری دارند! 💼✨"

"فروشگاه CCoin چه آیتم‌هایی دارد؟","🛒 **فروشگاه جذاب CCoin**

در فروشگاه CCoin با استفاده از دستور </shop:0> می‌توانید آیتم‌های متنوعی خریداری کنید:

🛡️ **آیتم‌های محافظتی**:
• قفل ایمنی - محافظت در برابر دزدی
• سگ نگهبان - کاهش شانس موفقیت دزدها
• سیستم امنیتی - محافظت پیشرفته از سکه‌ها

🔮 **آیتم‌های بوستر**:
• فنجان قهوه - افزایش درآمد کار
• چراغ جادو - افزایش شانس در مینی‌گیم‌ها
• طلسم شانس - افزایش جوایز تصادفی

🎭 **آیتم‌های تزئینی**:
• بک‌گراندهای مختلف برای پروفایل
• نشان‌های ویژه (بج‌ها)
• افکت‌های ویژه

🧰 **آیتم‌های کاربردی**:
• جعبه‌های شانس با جوایز تصادفی
• کارت‌های هدیه قابل انتقال
• ابزارهای مخصوص مینی‌گیم‌ها

برای خرید کافیست روی آیتم مورد نظر کلیک کنید یا از دستور </buy:0> [شناسه آیتم] استفاده کنید. 🎁✨"

"سیستم دوستی در CCoin چگونه کار می‌کند؟","👥 **سیستم دوستی CCoin**

با استفاده از دستور </friend:0> می‌توانید به سیستم دوستی ربات دسترسی پیدا کنید:

🔹 **ارسال درخواست دوستی**:
• </friend add:0> @username - ارسال درخواست دوستی به کاربر دیگر

🔹 **مدیریت درخواست‌ها**:
• </friend accept:0> @username - پذیرش درخواست دوستی
• </friend decline:0> @username - رد درخواست دوستی
• </friend remove:0> @username - حذف از لیست دوستان

🔹 **مشاهده لیست دوستان**:
• </friends:0> - نمایش لیست کامل دوستان شما

🔹 **مزایای داشتن دوست در CCoin**:
• 🎁 امکان ارسال هدیه سکه با کارمزد کمتر
• 👥 تشکیل تیم در بازی‌های گروهی
• 💬 دسترسی به چت خصوصی درون ربات
• 🤝 تجارت آیتم‌ها با شرایط بهتر

دوستان می‌توانند در ماجراجویی‌های شما در CCoin همراهتان باشند و به پیشرفت سریع‌تر کمک کنند! 🌟✨"

"چگونه می‌توانم سطح خود را افزایش دهم؟","📈 **افزایش سطح در CCoin**

در ربات CCoin، افزایش سطح (Level Up) از طریق جمع‌آوری XP (تجربه) امکان‌پذیر است:

🔹 **روش‌های کسب XP**:
• 🎮 شرکت در مینی‌گیم‌ها
• 💰 انجام فعالیت‌های اقتصادی (کار، دزدی، خرید)
• 🎁 دریافت پاداش روزانه
• 🏆 شرکت در ایونت‌ها و چالش‌ها
• 👥 تعامل با دیگر کاربران

🔹 **مزایای افزایش سطح**:
• 💵 افزایش پاداش‌های روزانه و درآمد کار
• 🏦 افزایش سقف بانک
• 🔓 دسترسی به آیتم‌های جدید در فروشگاه
• 🛡️ افزایش قدرت دفاعی و تهاجمی در دزدی
• 👑 دسترسی به ویژگی‌های انحصاری در سطوح بالاتر

🔥 **نکته مهم**: برای مشاهده سطح فعلی و میزان XP مورد نیاز برای سطح بعدی، می‌توانید از دستور </profile:0> استفاده کنید. فعالیت مستمر و متنوع، سریع‌ترین راه برای افزایش سطح است! 🚀✨"

"چگونه می‌توانم پروفایل خود را شخصی‌سازی کنم؟","🎨 **شخصی‌سازی پروفایل CCoin**

با استفاده از دستور </profile:0> می‌توانید به پروفایل خود دسترسی پیدا کنید و آن را شخصی‌سازی کنید:

🔹 **گزینه‌های شخصی‌سازی**:
• 🖼️ **تغییر بک‌گراند**: از فروشگاه بک‌گراندهای متنوع خریداری کنید
• 📝 **تغییر بیوگرافی**: معرفی خود با متن دلخواه
• 🎨 **رنگ شخصی**: تغییر رنگ اصلی نمایش پروفایل
• 🏆 **نمایش نشان‌ها (بج‌ها)**: نشان‌های افتخار در پروفایل
• 📊 **نمایش آمار**: انتخاب آمارهایی که در پروفایل نمایش داده می‌شوند

🔹 **دستورات کاربردی**:
• </profile customize:0> - باز کردن منوی شخصی‌سازی
• </profile background:0> - تغییر بک‌گراند
• </profile bio:0> [متن] - تغییر بیوگرافی
• </profile color:0> [کد رنگ] - تغییر رنگ پروفایل

یک پروفایل جذاب و منحصر به فرد باعث می‌شود در میان دیگر کاربران متمایز شوید! ✨🌈"

"چگونه می‌توانم در رتبه‌بندی‌ها بالا بروم؟","🏆 **رتبه‌بندی‌ها در CCoin**

برای مشاهده لیست رتبه‌بندی کاربران، از دستور </leaderboard:0> استفاده کنید. این رتبه‌بندی‌ها شامل:

📊 **انواع لیدربورد**:
• 💰 **ثروت**: کاربرانی با بیشترین مجموع سکه (کیف پول + بانک)
• 📈 **سطح**: کاربرانی با بالاترین سطح
• 💎 **کریستال**: کاربرانی با بیشترین تعداد کریستال
• 🏅 **استریک**: کاربرانی با بیشترین استریک روزانه متوالی
• 🎮 **مینی‌گیم**: بهترین بازیکنان هر مینی‌گیم

🔹 **روش‌های بالا رفتن در رتبه‌بندی**:
• 🔄 فعالیت منظم روزانه
• 💸 جمع‌آوری هوشمندانه سکه و مدیریت اقتصادی
• 🎯 تمرکز روی یک نوع خاص از رتبه‌بندی
• 🧠 استراتژی مناسب در مینی‌گیم‌ها
• 📈 افزایش مداوم سطح

🔥 **نکته طلایی**: رتبه‌بندی‌ها هر روز به‌روزرسانی می‌شوند. کاربران برتر گاهی جوایز ویژه‌ای دریافت می‌کنند! 🌟🏅"

"چگونه می‌توانم عضو کلن شوم یا کلن جدید بسازم؟","🏰 **سیستم کلن‌ها در CCoin**

کلن‌ها گروه‌های سازمان‌یافته از بازیکنان هستند که با هم همکاری می‌کنند:

🔹 **دستورات اصلی کلن**:
• </clan create:0> [نام کلن] - ساخت کلن جدید
• </clan join:0> [نام کلن] - پیوستن به یک کلن موجود
• </clan info:0> - مشاهده اطلاعات کلن خود
• </clan members:0> - مشاهده لیست اعضای کلن
• </clan leave:0> - ترک کلن

🔹 **مزایای عضویت در کلن**:
• 🛡️ محافظت گروهی در برابر دزدی
• 💰 بانک کلن برای ذخیره منابع مشترک
• 🛒 تخفیف‌های ویژه در خرید از فروشگاه
• 🏆 شرکت در رویدادهای مخصوص کلن‌ها
• 👥 همکاری تیمی برای پیشرفت سریع‌تر

⚙️ **مدیریت کلن** (برای رهبران و افسران):
• </clan invite:0> @username - دعوت کاربر جدید
• </clan kick:0> @username - اخراج عضو
• </clan promote:0> @username - ارتقاء مقام عضو
• </clan settings:0> - تنظیمات کلن

کلن‌ها یکی از بهترین راه‌ها برای تجربه گروهی و پیشرفت سریع‌تر در CCoin هستند! 🏯✨"

"سیستم هوش مصنوعی CCoin چه قابلیت‌هایی دارد؟","🧠 **هوش مصنوعی پیشرفته CCoin**

CCoin از یک سیستم هوش مصنوعی پیشرفته بهره می‌برد که قابلیت‌های متنوعی دارد:

🔹 **CCoinAI** - گفتگوی هوشمند با دستور </askai:0>:
• 💬 پاسخگویی به سؤالات درباره ربات و دستورات
• 🎮 ارائه استراتژی‌های بازی و ترفندهای جمع‌آوری سکه
• 🧩 راهنمایی در حل مشکلات و چالش‌ها
• 🎲 توصیه‌های هوشمند برای مینی‌گیم‌ها
• 📚 توضیح قوانین و مکانیک‌های بازی

🔹 **قابلیت‌های دیگر هوش مصنوعی CCoin**:
• 📝 تولید خودکار نکات آموزشی در کانال‌های تیپ
• 🎭 تولید سناریوهای خلاقانه در مینی‌گیم‌ها
• 📊 تحلیل داده‌ها و ارائه پیشنهادهای شخصی‌سازی شده
• 🔮 پیش‌بینی هوشمند در بازی‌های شانسی

CCoinAI به زبان فارسی مسلط است و می‌تواند به صورت طبیعی و روان با شما گفتگو کند! برای گفتگو با آن، کافیست از دستور </askai:0> همراه با سؤال خود استفاده کنید. 🤖✨"

"سیستم اطلاع‌رسانی اقتصادی CCoin چگونه کار می‌کند؟","📢 **سیستم اطلاع‌رسانی اقتصادی CCoin**

CCoin دارای سیستم اطلاع‌رسانی هوشمندی است که تمام تغییرات اقتصادی حساب شما را با رنگ‌بندی ویژه و توضیحات دقیق به شما اطلاع می‌دهد:

🔹 **رنگ‌بندی اعلان‌ها**:
• 🟢 **سبز**: برای افزایش سکه (مثلاً هنگامی که ادمین به حسابتان سکه اضافه می‌کند)
• 🔴 **قرمز**: برای کاهش یا ریست سکه (مثلاً زمان کسر جریمه یا ریست اقتصاد)
• 🔵 **آبی**: برای توزیع عمومی سکه (مثلاً رویدادهای بارش سکه)

🔹 **اطلاعات موجود در هر اعلان**:
• 💰 مقدار تغییر (افزایش یا کاهش)
• 👤 نام ادمین انجام دهنده عملیات
• 📝 دلیل تغییرات (مثلاً "جایزه فعالیت" یا "جریمه تخلف")
• ⏰ تاریخ و زمان دقیق

این سیستم شفافیت را افزایش می‌دهد و به شما امکان می‌دهد از تمام تغییرات حساب خود آگاه باشید. همچنین این اطلاعات در تاریخچه تراکنش‌های شما با دستور </transactions:0> قابل مشاهده است. 📊✨"

"پیام‌های وضعیت ربات چگونه کار می‌کنند؟","🎭 **سیستم پیام‌های وضعیت CCoin**

پیام‌های وضعیت CCoin، متن‌هایی هستند که در بخش «در حال تماشای...» پروفایل ربات در دیسکورد نمایش داده می‌شوند:

🔹 **ویژگی‌های پیام‌های وضعیت**:
• 🔄 هر 20 دقیقه به صورت خودکار تغییر می‌کنند
• 💡 شامل نکات طنزآمیز و جذاب درباره ربات هستند
• 🎭 با ایموجی‌های متنوع و رنگارنگ تزئین شده‌اند
• 📚 به زبان فارسی روان و جذاب نوشته شده‌اند

🔹 **منابع پیام‌های وضعیت**:
• 📚 کتابخانه داخلی با بیش از 50 پیام از پیش آماده شده
• 🧠 پیام‌های تولید شده توسط هوش مصنوعی CCoinAI

برای ادمین‌های سرور، امکان تغییر بین حالت‌های «پیام‌های محلی» و «پیام‌های هوش مصنوعی» با دستور خاصی وجود دارد. این پیام‌ها بخشی از شخصیت منحصر به فرد و سرگرم‌کننده ربات CCoin هستند! ✨🤖"

"سیستم VIP در CCoin چیست و چه مزایایی دارد؟","👑 **سیستم VIP در CCoin**

کاربران VIP در ربات CCoin از مزایا و امکانات ویژه‌ای بهره‌مند می‌شوند:

🔹 **مزایای حساب VIP**:
• 💰 افزایش پاداش روزانه (تا 2 برابر)
• 🏦 افزایش سقف بانک (تا 3 برابر)
• 📦 افزایش ظرفیت انبار (تا 2 برابر)
• 💸 کاهش کارمزد انتقال سکه به دوستان
• 🎮 شانس بیشتر در مینی‌گیم‌ها
• 🛒 دسترسی به آیتم‌های انحصاری در فروشگاه
• 🎨 بک‌گراندهای انحصاری برای پروفایل
• 🔰 نشان ویژه VIP در پروفایل و لیدربوردها

🔹 **نحوه دریافت VIP**:
عضویت VIP معمولاً از طریق حمایت از پروژه، شرکت در رویدادهای خاص، یا به عنوان پاداش ویژه برای کاربران فعال اعطا می‌شود.

⏰ **مدت زمان**: عضویت VIP می‌تواند موقت (1 ماهه، 3 ماهه) یا دائمی باشد.

کاربران VIP علاوه بر مزایای فوق، از پشتیبانی ویژه و اولویت در دریافت به‌روزرسانی‌های جدید بهره‌مند می‌شوند! 👑✨"

"بازی Werewolf (گرگینه) چگونه کار می‌کند؟","🐺 **بازی Werewolf (گرگینه) در CCoin**

Werewolf یک بازی گروهی استراتژیک و هیجان‌انگیز است که در آن بازیکنان نقش‌های مختلفی دارند:

🔹 **شروع بازی**:
• با دستور </werewolf:0> یا </ww:0> می‌توانید بازی را شروع کنید
• حداقل 5 بازیکن برای شروع نیاز است (بهترین تجربه با 8-12 بازیکن)
• بازیکنان با کلیک روی دکمه «Join» به بازی می‌پیوندند

🔹 **نقش‌های اصلی**:
• 🐺 **گرگینه‌ها**: شب‌ها به روستاییان حمله می‌کنند
• 👨‍🌾 **روستاییان**: باید گرگینه‌ها را شناسایی و حذف کنند
• 👁️ **پیشگو**: می‌تواند هویت بازیکنان را کشف کند
• 👩‍⚕️ **پزشک**: می‌تواند یک بازیکن را در هر شب نجات دهد
• 🔫 **شکارچی**: پس از مرگ می‌تواند یک نفر را با خود ببرد

🔹 **مراحل بازی**:
• 🌙 **شب**: گرگینه‌ها قربانی انتخاب می‌کنند، پیشگو و پزشک فعالیت می‌کنند
• ☀️ **روز**: بازیکنان بحث می‌کنند و رأی‌گیری می‌کنند تا مشکوک‌ترین فرد را حذف کنند

🎯 **هدف بازی**:
• روستاییان: حذف همه گرگینه‌ها
• گرگینه‌ها: حذف اکثریت روستاییان

این بازی نیازمند استراتژی، فریب، و استدلال قوی است. هر بازی متفاوت و هیجان‌انگیز خواهد بود! 🎭🌙"

